Date, Close/Last, Volume, Open, High, Low
11/12/2020, 1873.3, 199543, 1863.9, 1883, 1860.7
11/11/2020, 1861.6, 201067, 1876.1, 1882.5, 1853.9
11/10/2020, 1876.4, 243090, 1864.1, 1877.1, 1870.9
11/09/2020, 1854.4, 475721, 1956, 1869.3, 1861.2
11/06/2020, 1951.7, 233903, 1950, 1961.8, 1937.2
11/05/2020, 1946.8, 288663, 1903.4, 1952.6, 1948
11/04/2020, 1896.2, 284598, 1910.3, 1905.8, 1897.8
11/03/2020, 1910.4, 166642, 1896.4, 1911.8, 1906.9
11/02/2020, 1892.5, 161958, 1877, 1897.1, 1873.3
10/30/2020, 1879.9, 207865, 1867.9, 1885.9, 1875
10/29/2020, 1868, 219592, 1877.5, 1885.1, 1859.2
10/28/2020, 1879.2, 289026, 1909.8, 1882.1, 1875.7
10/27/2020, 1911.9, 149056, 1904.4, 1913.8, 1898.7
10/26/2020, 1905.7, 161841, 1906, 1911.1, 1892.5
10/23/2020, 1905.2, 168148, 1906.5, 1917.3, 1895.2
10/22/2020, 1904.6, 208087, 1927.4, 1929.4, 1894.2
10/21/2020, 1929.5, 194754, 1911.6, 1936, 1911.6
10/20/2020, 1915.4, 160356, 1906.4, 1915.5, 1909
10/19/2020, 1911.7, 155479, 1903.2, 1923.4, 1900.2
10/16/2020, 1906.4, 144094, 1912.7, 1918.7, 1901.1
10/15/2020, 1908.9, 205615, 1906, 1913.2, 1892.7
10/14/2020, 1907.3, 185374, 1895.4, 1917.5, 1885
10/13/2020, 1894.6, 260044, 1927.3, 1930.6, 1889.3
10/12/2020, 1928.9, 155906, 1935, 1939.4, 1923.8
10/09/2020, 1926.2, 224808, 1898.4, 1936.8, 1898
10/08/2020, 1895.1, 179968, 1890.6, 1905.3, 1885.3
10/07/2020, 1890.8, 183295, 1882.6, 1902.4, 1877.1
10/06/2020, 1908.8, 172605, 1917.8, 1927, 1902.9
10/05/2020, 1920.1, 176090, 1910.9, 1924.9, 1902.5
